Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
build,cook,concrete-positive,concrete-positive,MaxMatch
build,cuddle,concrete-positive,concrete-positive,MaxMatch
build,eat,concrete-positive,concrete-positive,MaxMatch
build,hug,concrete-positive,concrete-positive,MaxMatch
build,kiss,concrete-positive,concrete-positive,MaxMatch
build,running,concrete-positive,concrete-positive,MaxMatch
build,sail,concrete-positive,concrete-positive,MaxMatch
build,smile,concrete-positive,concrete-positive,MaxMatch
build,swing,concrete-positive,concrete-positive,MaxMatch
cook,cuddle,concrete-positive,concrete-positive,MaxMatch
cook,eat,concrete-positive,concrete-positive,MaxMatch
cook,hug,concrete-positive,concrete-positive,MaxMatch
cook,kiss,concrete-positive,concrete-positive,MaxMatch
cook,running,concrete-positive,concrete-positive,MaxMatch
cook,sail,concrete-positive,concrete-positive,MaxMatch
cook,smile,concrete-positive,concrete-positive,MaxMatch
cook,swing,concrete-positive,concrete-positive,MaxMatch
cuddle,eat,concrete-positive,concrete-positive,MaxMatch
cuddle,hug,concrete-positive,concrete-positive,MaxMatch
cuddle,kiss,concrete-positive,concrete-positive,MaxMatch
cuddle,running,concrete-positive,concrete-positive,MaxMatch
cuddle,sail,concrete-positive,concrete-positive,MaxMatch
cuddle,smile,concrete-positive,concrete-positive,MaxMatch
cuddle,swing,concrete-positive,concrete-positive,MaxMatch
eat,hug,concrete-positive,concrete-positive,MaxMatch
eat,kiss,concrete-positive,concrete-positive,MaxMatch
eat,running,concrete-positive,concrete-positive,MaxMatch
eat,sail,concrete-positive,concrete-positive,MaxMatch
eat,smile,concrete-positive,concrete-positive,MaxMatch
eat,swing,concrete-positive,concrete-positive,MaxMatch
hug,kiss,concrete-positive,concrete-positive,MaxMatch
hug,running,concrete-positive,concrete-positive,MaxMatch
hug,sail,concrete-positive,concrete-positive,MaxMatch
hug,smile,concrete-positive,concrete-positive,MaxMatch
hug,swing,concrete-positive,concrete-positive,MaxMatch
kiss,running,concrete-positive,concrete-positive,MaxMatch
kiss,sail,concrete-positive,concrete-positive,MaxMatch
kiss,smile,concrete-positive,concrete-positive,MaxMatch
kiss,swing,concrete-positive,concrete-positive,MaxMatch
running,sail,concrete-positive,concrete-positive,MaxMatch
running,smile,concrete-positive,concrete-positive,MaxMatch
running,swing,concrete-positive,concrete-positive,MaxMatch
sail,smile,concrete-positive,concrete-positive,MaxMatch
sail,swing,concrete-positive,concrete-positive,MaxMatch
smile,swing,concrete-positive,concrete-positive,MaxMatch
bleed,kill,concrete-negative,concrete-negative,MaxMatch
bleed,murder,concrete-negative,concrete-negative,MaxMatch
bleed,puke,concrete-negative,concrete-negative,MaxMatch
bleed,scratch,concrete-negative,concrete-negative,MaxMatch
bleed,slap,concrete-negative,concrete-negative,MaxMatch
bleed,smack,concrete-negative,concrete-negative,MaxMatch
bleed,spit,concrete-negative,concrete-negative,MaxMatch
bleed,stab,concrete-negative,concrete-negative,MaxMatch
bleed,vomit,concrete-negative,concrete-negative,MaxMatch
kill,murder,concrete-negative,concrete-negative,MaxMatch
kill,puke,concrete-negative,concrete-negative,MaxMatch
kill,scratch,concrete-negative,concrete-negative,MaxMatch
kill,slap,concrete-negative,concrete-negative,MaxMatch
kill,smack,concrete-negative,concrete-negative,MaxMatch
kill,spit,concrete-negative,concrete-negative,MaxMatch
kill,stab,concrete-negative,concrete-negative,MaxMatch
kill,vomit,concrete-negative,concrete-negative,MaxMatch
murder,puke,concrete-negative,concrete-negative,MaxMatch
murder,scratch,concrete-negative,concrete-negative,MaxMatch
murder,slap,concrete-negative,concrete-negative,MaxMatch
murder,smack,concrete-negative,concrete-negative,MaxMatch
murder,spit,concrete-negative,concrete-negative,MaxMatch
murder,stab,concrete-negative,concrete-negative,MaxMatch
murder,vomit,concrete-negative,concrete-negative,MaxMatch
puke,scratch,concrete-negative,concrete-negative,MaxMatch
puke,slap,concrete-negative,concrete-negative,MaxMatch
puke,smack,concrete-negative,concrete-negative,MaxMatch
puke,spit,concrete-negative,concrete-negative,MaxMatch
puke,stab,concrete-negative,concrete-negative,MaxMatch
puke,vomit,concrete-negative,concrete-negative,MaxMatch
scratch,slap,concrete-negative,concrete-negative,MaxMatch
scratch,smack,concrete-negative,concrete-negative,MaxMatch
scratch,spit,concrete-negative,concrete-negative,MaxMatch
scratch,stab,concrete-negative,concrete-negative,MaxMatch
scratch,vomit,concrete-negative,concrete-negative,MaxMatch
slap,smack,concrete-negative,concrete-negative,MaxMatch
slap,spit,concrete-negative,concrete-negative,MaxMatch
slap,stab,concrete-negative,concrete-negative,MaxMatch
slap,vomit,concrete-negative,concrete-negative,MaxMatch
smack,spit,concrete-negative,concrete-negative,MaxMatch
smack,stab,concrete-negative,concrete-negative,MaxMatch
smack,vomit,concrete-negative,concrete-negative,MaxMatch
spit,stab,concrete-negative,concrete-negative,MaxMatch
spit,vomit,concrete-negative,concrete-negative,MaxMatch
stab,vomit,concrete-negative,concrete-negative,MaxMatch
annoy,befall,abstract-negative,abstract-negative,MaxMatch
annoy,criticize,abstract-negative,abstract-negative,MaxMatch
annoy,exploit,abstract-negative,abstract-negative,MaxMatch
annoy,loathe,abstract-negative,abstract-negative,MaxMatch
annoy,obsess,abstract-negative,abstract-negative,MaxMatch
annoy,resent,abstract-negative,abstract-negative,MaxMatch
annoy,scorn,abstract-negative,abstract-negative,MaxMatch
annoy,violate,abstract-negative,abstract-negative,MaxMatch
annoy,worry,abstract-negative,abstract-negative,MaxMatch
befall,criticize,abstract-negative,abstract-negative,MaxMatch
befall,exploit,abstract-negative,abstract-negative,MaxMatch
befall,loathe,abstract-negative,abstract-negative,MaxMatch
befall,obsess,abstract-negative,abstract-negative,MaxMatch
befall,resent,abstract-negative,abstract-negative,MaxMatch
befall,scorn,abstract-negative,abstract-negative,MaxMatch
befall,violate,abstract-negative,abstract-negative,MaxMatch
befall,worry,abstract-negative,abstract-negative,MaxMatch
criticize,exploit,abstract-negative,abstract-negative,MaxMatch
criticize,loathe,abstract-negative,abstract-negative,MaxMatch
criticize,obsess,abstract-negative,abstract-negative,MaxMatch
criticize,resent,abstract-negative,abstract-negative,MaxMatch
criticize,scorn,abstract-negative,abstract-negative,MaxMatch
criticize,violate,abstract-negative,abstract-negative,MaxMatch
criticize,worry,abstract-negative,abstract-negative,MaxMatch
exploit,loathe,abstract-negative,abstract-negative,MaxMatch
exploit,obsess,abstract-negative,abstract-negative,MaxMatch
exploit,resent,abstract-negative,abstract-negative,MaxMatch
exploit,scorn,abstract-negative,abstract-negative,MaxMatch
exploit,violate,abstract-negative,abstract-negative,MaxMatch
exploit,worry,abstract-negative,abstract-negative,MaxMatch
loathe,obsess,abstract-negative,abstract-negative,MaxMatch
loathe,resent,abstract-negative,abstract-negative,MaxMatch
loathe,scorn,abstract-negative,abstract-negative,MaxMatch
loathe,violate,abstract-negative,abstract-negative,MaxMatch
loathe,worry,abstract-negative,abstract-negative,MaxMatch
obsess,resent,abstract-negative,abstract-negative,MaxMatch
obsess,scorn,abstract-negative,abstract-negative,MaxMatch
obsess,violate,abstract-negative,abstract-negative,MaxMatch
obsess,worry,abstract-negative,abstract-negative,MaxMatch
resent,scorn,abstract-negative,abstract-negative,MaxMatch
resent,violate,abstract-negative,abstract-negative,MaxMatch
resent,worry,abstract-negative,abstract-negative,MaxMatch
scorn,violate,abstract-negative,abstract-negative,MaxMatch
scorn,worry,abstract-negative,abstract-negative,MaxMatch
violate,worry,abstract-negative,abstract-negative,MaxMatch
imagine,enlighten,abstract-positive,abstract-positive,MaxMatch
imagine,admired,abstract-positive,abstract-positive,MaxMatch
imagine,cherish,abstract-positive,abstract-positive,MaxMatch
imagine,hope,abstract-positive,abstract-positive,MaxMatch
imagine,believe,abstract-positive,abstract-positive,MaxMatch
imagine,fulfill,abstract-positive,abstract-positive,MaxMatch
imagine,esteem,abstract-positive,abstract-positive,MaxMatch
imagine,justify,abstract-positive,abstract-positive,MaxMatch
imagine,respect,abstract-positive,abstract-positive,MaxMatch
enlighten,admired,abstract-positive,abstract-positive,MaxMatch
enlighten,cherish,abstract-positive,abstract-positive,MaxMatch
enlighten,hope,abstract-positive,abstract-positive,MaxMatch
enlighten,believe,abstract-positive,abstract-positive,MaxMatch
enlighten,fulfill,abstract-positive,abstract-positive,MaxMatch
enlighten,esteem,abstract-positive,abstract-positive,MaxMatch
enlighten,justify,abstract-positive,abstract-positive,MaxMatch
enlighten,respect,abstract-positive,abstract-positive,MaxMatch
admired,cherish,abstract-positive,abstract-positive,MaxMatch
admired,hope,abstract-positive,abstract-positive,MaxMatch
