Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
heroin,comedian,inanimate-negative,animate-positive,MaxMismatch
heroin,puppy,inanimate-negative,animate-positive,MaxMismatch
heroin,sibling,inanimate-negative,animate-positive,MaxMismatch
heroin,duckling,inanimate-negative,animate-positive,MaxMismatch
heroin,kitten,inanimate-negative,animate-positive,MaxMismatch
heroin,bunny,inanimate-negative,animate-positive,MaxMismatch
heroin,child,inanimate-negative,animate-positive,MaxMismatch
heroin,princess,inanimate-negative,animate-positive,MaxMismatch
heroin,chipmunk,inanimate-negative,animate-positive,MaxMismatch
heroin,husband,inanimate-negative,animate-positive,MaxMismatch
swastika,comedian,inanimate-negative,animate-positive,MaxMismatch
swastika,puppy,inanimate-negative,animate-positive,MaxMismatch
swastika,sibling,inanimate-negative,animate-positive,MaxMismatch
swastika,duckling,inanimate-negative,animate-positive,MaxMismatch
swastika,kitten,inanimate-negative,animate-positive,MaxMismatch
swastika,bunny,inanimate-negative,animate-positive,MaxMismatch
swastika,child,inanimate-negative,animate-positive,MaxMismatch
swastika,princess,inanimate-negative,animate-positive,MaxMismatch
swastika,chipmunk,inanimate-negative,animate-positive,MaxMismatch
swastika,husband,inanimate-negative,animate-positive,MaxMismatch
wiretap,comedian,inanimate-negative,animate-positive,MaxMismatch
wiretap,puppy,inanimate-negative,animate-positive,MaxMismatch
wiretap,sibling,inanimate-negative,animate-positive,MaxMismatch
wiretap,duckling,inanimate-negative,animate-positive,MaxMismatch
wiretap,kitten,inanimate-negative,animate-positive,MaxMismatch
wiretap,bunny,inanimate-negative,animate-positive,MaxMismatch
wiretap,child,inanimate-negative,animate-positive,MaxMismatch
wiretap,princess,inanimate-negative,animate-positive,MaxMismatch
wiretap,chipmunk,inanimate-negative,animate-positive,MaxMismatch
wiretap,husband,inanimate-negative,animate-positive,MaxMismatch
cocaine,comedian,inanimate-negative,animate-positive,MaxMismatch
cocaine,puppy,inanimate-negative,animate-positive,MaxMismatch
cocaine,sibling,inanimate-negative,animate-positive,MaxMismatch
cocaine,duckling,inanimate-negative,animate-positive,MaxMismatch
cocaine,kitten,inanimate-negative,animate-positive,MaxMismatch
cocaine,bunny,inanimate-negative,animate-positive,MaxMismatch
cocaine,child,inanimate-negative,animate-positive,MaxMismatch
cocaine,princess,inanimate-negative,animate-positive,MaxMismatch
cocaine,chipmunk,inanimate-negative,animate-positive,MaxMismatch
cocaine,husband,inanimate-negative,animate-positive,MaxMismatch
excrement,comedian,inanimate-negative,animate-positive,MaxMismatch
excrement,puppy,inanimate-negative,animate-positive,MaxMismatch
excrement,sibling,inanimate-negative,animate-positive,MaxMismatch
excrement,duckling,inanimate-negative,animate-positive,MaxMismatch
excrement,kitten,inanimate-negative,animate-positive,MaxMismatch
excrement,bunny,inanimate-negative,animate-positive,MaxMismatch
excrement,child,inanimate-negative,animate-positive,MaxMismatch
excrement,princess,inanimate-negative,animate-positive,MaxMismatch
excrement,chipmunk,inanimate-negative,animate-positive,MaxMismatch
excrement,husband,inanimate-negative,animate-positive,MaxMismatch
poison,comedian,inanimate-negative,animate-positive,MaxMismatch
poison,puppy,inanimate-negative,animate-positive,MaxMismatch
poison,sibling,inanimate-negative,animate-positive,MaxMismatch
poison,duckling,inanimate-negative,animate-positive,MaxMismatch
poison,kitten,inanimate-negative,animate-positive,MaxMismatch
poison,bunny,inanimate-negative,animate-positive,MaxMismatch
poison,child,inanimate-negative,animate-positive,MaxMismatch
poison,princess,inanimate-negative,animate-positive,MaxMismatch
poison,chipmunk,inanimate-negative,animate-positive,MaxMismatch
poison,husband,inanimate-negative,animate-positive,MaxMismatch
gunshot,comedian,inanimate-negative,animate-positive,MaxMismatch
gunshot,puppy,inanimate-negative,animate-positive,MaxMismatch
gunshot,sibling,inanimate-negative,animate-positive,MaxMismatch
gunshot,duckling,inanimate-negative,animate-positive,MaxMismatch
gunshot,kitten,inanimate-negative,animate-positive,MaxMismatch
gunshot,bunny,inanimate-negative,animate-positive,MaxMismatch
gunshot,child,inanimate-negative,animate-positive,MaxMismatch
gunshot,princess,inanimate-negative,animate-positive,MaxMismatch
gunshot,chipmunk,inanimate-negative,animate-positive,MaxMismatch
gunshot,husband,inanimate-negative,animate-positive,MaxMismatch
flood,comedian,inanimate-negative,animate-positive,MaxMismatch
flood,puppy,inanimate-negative,animate-positive,MaxMismatch
flood,sibling,inanimate-negative,animate-positive,MaxMismatch
flood,duckling,inanimate-negative,animate-positive,MaxMismatch
flood,kitten,inanimate-negative,animate-positive,MaxMismatch
flood,bunny,inanimate-negative,animate-positive,MaxMismatch
flood,child,inanimate-negative,animate-positive,MaxMismatch
flood,princess,inanimate-negative,animate-positive,MaxMismatch
flood,chipmunk,inanimate-negative,animate-positive,MaxMismatch
flood,husband,inanimate-negative,animate-positive,MaxMismatch
smallpox,comedian,inanimate-negative,animate-positive,MaxMismatch
smallpox,puppy,inanimate-negative,animate-positive,MaxMismatch
smallpox,sibling,inanimate-negative,animate-positive,MaxMismatch
smallpox,duckling,inanimate-negative,animate-positive,MaxMismatch
smallpox,kitten,inanimate-negative,animate-positive,MaxMismatch
smallpox,bunny,inanimate-negative,animate-positive,MaxMismatch
smallpox,child,inanimate-negative,animate-positive,MaxMismatch
smallpox,princess,inanimate-negative,animate-positive,MaxMismatch
smallpox,chipmunk,inanimate-negative,animate-positive,MaxMismatch
smallpox,husband,inanimate-negative,animate-positive,MaxMismatch
corpse,comedian,inanimate-negative,animate-positive,MaxMismatch
corpse,puppy,inanimate-negative,animate-positive,MaxMismatch
corpse,sibling,inanimate-negative,animate-positive,MaxMismatch
corpse,duckling,inanimate-negative,animate-positive,MaxMismatch
corpse,kitten,inanimate-negative,animate-positive,MaxMismatch
corpse,bunny,inanimate-negative,animate-positive,MaxMismatch
corpse,child,inanimate-negative,animate-positive,MaxMismatch
corpse,princess,inanimate-negative,animate-positive,MaxMismatch
corpse,chipmunk,inanimate-negative,animate-positive,MaxMismatch
corpse,husband,inanimate-negative,animate-positive,MaxMismatch
prize,slave,inanimate-positive,animate-negative,MaxMismatch
prize,asshole,inanimate-positive,animate-negative,MaxMismatch
prize,maggot,inanimate-positive,animate-negative,MaxMismatch
prize,widow,inanimate-positive,animate-negative,MaxMismatch
prize,inmate,inanimate-positive,animate-negative,MaxMismatch
prize,dictator,inanimate-positive,animate-negative,MaxMismatch
prize,leech,inanimate-positive,animate-negative,MaxMismatch
prize,tapeworm,inanimate-positive,animate-negative,MaxMismatch
prize,intruder,inanimate-positive,animate-negative,MaxMismatch
prize,mugger,inanimate-positive,animate-negative,MaxMismatch
sunshine,slave,inanimate-positive,animate-negative,MaxMismatch
sunshine,asshole,inanimate-positive,animate-negative,MaxMismatch
sunshine,maggot,inanimate-positive,animate-negative,MaxMismatch
sunshine,widow,inanimate-positive,animate-negative,MaxMismatch
sunshine,inmate,inanimate-positive,animate-negative,MaxMismatch
sunshine,dictator,inanimate-positive,animate-negative,MaxMismatch
sunshine,leech,inanimate-positive,animate-negative,MaxMismatch
sunshine,tapeworm,inanimate-positive,animate-negative,MaxMismatch
sunshine,intruder,inanimate-positive,animate-negative,MaxMismatch
sunshine,mugger,inanimate-positive,animate-negative,MaxMismatch
award,slave,inanimate-positive,animate-negative,MaxMismatch
award,asshole,inanimate-positive,animate-negative,MaxMismatch
award,maggot,inanimate-positive,animate-negative,MaxMismatch
award,widow,inanimate-positive,animate-negative,MaxMismatch
award,inmate,inanimate-positive,animate-negative,MaxMismatch
award,dictator,inanimate-positive,animate-negative,MaxMismatch
award,leech,inanimate-positive,animate-negative,MaxMismatch
award,tapeworm,inanimate-positive,animate-negative,MaxMismatch
award,intruder,inanimate-positive,animate-negative,MaxMismatch
award,mugger,inanimate-positive,animate-negative,MaxMismatch
pizza,slave,inanimate-positive,animate-negative,MaxMismatch
pizza,asshole,inanimate-positive,animate-negative,MaxMismatch
pizza,maggot,inanimate-positive,animate-negative,MaxMismatch
pizza,widow,inanimate-positive,animate-negative,MaxMismatch
pizza,inmate,inanimate-positive,animate-negative,MaxMismatch
pizza,dictator,inanimate-positive,animate-negative,MaxMismatch
pizza,leech,inanimate-positive,animate-negative,MaxMismatch
pizza,tapeworm,inanimate-positive,animate-negative,MaxMismatch
pizza,intruder,inanimate-positive,animate-negative,MaxMismatch
pizza,mugger,inanimate-positive,animate-negative,MaxMismatch
laughter,slave,inanimate-positive,animate-negative,MaxMismatch
laughter,asshole,inanimate-positive,animate-negative,MaxMismatch
laughter,maggot,inanimate-positive,animate-negative,MaxMismatch
laughter,widow,inanimate-positive,animate-negative,MaxMismatch
laughter,inmate,inanimate-positive,animate-negative,MaxMismatch
laughter,dictator,inanimate-positive,animate-negative,MaxMismatch
laughter,leech,inanimate-positive,animate-negative,MaxMismatch
