,Word,Conc.M,Conc.SD,V.Mean.Sum,V.SD.Sum,ConcValCombo,Valence,Animacy
0,heroin,4.57,0.94,2.74,2.6,concrete-negative,negative,inanimate
1,swastika,4.29,1.23,2.33,2.01,concrete-negative,negative,inanimate
2,wiretap,4.25,1.14,2.95,2.41,concrete-negative,negative,inanimate
3,cocaine,4.52,0.96,3.05,2.44,concrete-negative,negative,inanimate
4,excrement,4.43,1.04,2.0,1.33,concrete-negative,negative,inanimate
5,poison,4.27,1.01,2.16,1.46,concrete-negative,negative,inanimate
6,gunshot,4.93,0.27,2.79,2.06,concrete-negative,negative,inanimate
7,flood,4.62,0.78,2.76,2.02,concrete-negative,negative,inanimate
8,smallpox,4.25,1.08,2.02,1.26,concrete-negative,negative,inanimate
9,corpse,4.89,0.42,2.45,1.64,concrete-negative,negative,inanimate
10,prize,4.45,0.74,8.0,0.86,concrete-positive,positive,inanimate
11,sunshine,4.21,0.94,8.14,1.13,concrete-positive,positive,inanimate
12,award,4.14,1.01,7.86,1.15,concrete-positive,positive,inanimate
13,pizza,5.0,0.0,7.89,1.29,concrete-positive,positive,inanimate
14,laughter,4.22,1.34,8.05,1.57,concrete-positive,positive,inanimate
15,feast,4.3,0.95,7.57,1.4,concrete-positive,positive,inanimate
16,doughnut,4.96,0.2,7.5,1.41,concrete-positive,positive,inanimate
17,dollar,4.93,0.26,7.39,1.51,concrete-positive,positive,inanimate
18,sandwich,4.9,0.31,7.18,1.33,concrete-positive,positive,inanimate
19,meadow,4.86,0.58,7.3,1.53,concrete-positive,positive,inanimate
20,slave,4.38,0.9,2.06,1.92,concrete-negative,negative,animate
21,asshole,4.08,1.23,2.11,1.88,concrete-negative,negative,animate
22,maggot,4.97,0.18,2.0,1.59,concrete-negative,negative,animate
23,widow,4.33,0.73,2.28,1.71,concrete-negative,negative,animate
24,inmate,4.19,1.04,2.67,2.09,concrete-negative,negative,animate
25,dictator,4.29,0.9,2.77,2.18,concrete-negative,negative,animate
26,leech,4.33,1.04,2.43,1.83,concrete-negative,negative,animate
27,tapeworm,4.93,0.38,2.19,1.57,concrete-negative,negative,animate
28,intruder,4.14,1.3,2.46,1.83,concrete-negative,negative,animate
29,mugger,4.27,1.03,1.9,1.25,concrete-negative,negative,animate
30,comedian,4.04,1.25,7.6,1.19,concrete-positive,positive,animate
31,puppy,4.78,0.7,7.85,1.53,concrete-positive,positive,animate
32,sibling,4.37,0.89,7.27,1.16,concrete-positive,positive,animate
33,duckling,4.93,0.26,7.18,1.18,concrete-positive,positive,animate
34,kitten,4.86,0.76,7.58,1.72,concrete-positive,positive,animate
35,bunny,4.97,0.19,7.3,1.49,concrete-positive,positive,animate
36,child,4.78,0.58,7.2,1.47,concrete-positive,positive,animate
37,princess,4.72,0.53,7.64,1.94,concrete-positive,positive,animate
38,chipmunk,4.97,0.19,7.33,1.64,concrete-positive,positive,animate
39,husband,4.11,1.22,7.41,1.74,concrete-positive,positive,animate
