Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6877bb0f90e10de2d697da51,65f54bfd77f3db0d47887b37,APPROVED,Not Applicable,2025-07-16T14:45:42.093000Z,2025-07-16T14:58:31.043000Z,2025-07-16T14:58:32.344000Z,2025-07-16T14:58:31.505752Z,769.0,CHFTNE6M,2791,23,Female,Black,United States,United States,United States,English,No,Part-Time
6877bb11c9b54fc64a5b14cd,66ee4d807a6161ba6a9b5211,APPROVED,Not Applicable,2025-07-16T14:45:40.466000Z,2025-07-16T14:50:18.153000Z,2025-07-16T15:02:20.360000Z,2025-07-16T14:50:18.631742Z,278.0,CHFTNE6M,1248,40,Male,White,United States,United States,United States,English,No,Full-Time
6877bb1eac43e4efd0d84a2d,5f15f2a9eeada712d2014314,APPROVED,Not Applicable,2025-07-16T14:45:58.923000Z,2025-07-16T15:00:21.085000Z,2025-07-16T15:00:31.942000Z,2025-07-16T15:00:21.542821Z,863.0,CHFTNE6M,1147,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6877bb211533f8b3e59a276b,62c08fa6cab36e3a08790b49,APPROVED,Not Applicable,2025-07-16T14:45:57.199000Z,2025-07-16T14:51:08.928000Z,2025-07-16T14:51:09.800000Z,2025-07-16T14:51:09.376458Z,312.0,CHFTNE6M,7274,70,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6877bb3fa4d54b5a2ace619a,5ced8f96a726ed0015d31452,APPROVED,Not Applicable,2025-07-16T14:46:27.872000Z,2025-07-16T14:53:28.228000Z,2025-07-16T14:53:37.651000Z,2025-07-16T14:53:28.693447Z,421.0,CHFTNE6M,9416,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6877bbabb9dd92c1f1cbc670,66d9f8b25ab58922e89d53b2,APPROVED,Not Applicable,2025-07-16T14:48:15.273000Z,2025-07-16T14:52:19.489000Z,2025-07-16T15:02:20.627000Z,2025-07-16T14:52:19.945548Z,245.0,CHFTNE6M,1190,47,Female,Mixed,United States,United States,United States,English,No,Full-Time
6877bbadc5dc39dec0a9d291,657f8d99678be2d216a85c3d,APPROVED,Not Applicable,2025-07-16T14:48:16.105000Z,2025-07-16T14:57:36.169000Z,2025-07-16T14:57:36.749000Z,2025-07-16T14:57:36.642994Z,561.0,CHFTNE6M,2857,43,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6877bbddda341cdc81580a4a,581e0aee4182b600017307ea,APPROVED,Not Applicable,2025-07-16T14:49:27.987000Z,2025-07-16T15:00:35.138000Z,2025-07-16T15:00:37.589000Z,2025-07-16T15:00:35.757185Z,668.0,CHFTNE6M,9207,52,Male,White,United States,United States,United States,English,No,Part-Time
6877bbe5a0fc2249e1ce0910,545f1e11fdf99b3156e7588b,APPROVED,Not Applicable,2025-07-16T14:49:09.612000Z,2025-07-16T14:53:58.181000Z,2025-07-16T15:02:20.897000Z,2025-07-16T14:53:58.663723Z,289.0,CHFTNE6M,2087,33,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
6877bbe9b3ea986568b60d11,661ee735d1619c1f872b98f6,APPROVED,Not Applicable,2025-07-16T14:49:17.298000Z,2025-07-16T14:54:31.398000Z,2025-07-16T14:54:33.184000Z,2025-07-16T14:54:31.827862Z,315.0,CHFTNE6M,1830,36,Male,White,United States,United States,United States,English,No,Other
