Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68779c32b7db18194443fa0c,588e02b13326830001bc29cd,APPROVED,Not Applicable,2025-07-16T12:33:59.356000Z,2025-07-16T12:40:28.215000Z,2025-07-16T12:40:31.733000Z,2025-07-16T12:40:28.679574Z,389.0,CHFTNE6M,4210,44,Female,White,United States,United States,United States,English,No,Full-Time
68779c35d0c90cf38a3f69ea,6736017e076d3440b572571d,APPROVED,Not Applicable,2025-07-16T12:34:13.546000Z,2025-07-16T12:39:44.816000Z,2025-07-16T12:39:47.032000Z,2025-07-16T12:39:45.262021Z,332.0,CHFTNE6M,1385,42,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
68779c413221562c2663740a,6129781ecb8007ce6248a915,APPROVED,Not Applicable,2025-07-16T12:34:14.556000Z,2025-07-16T12:42:07.335000Z,2025-07-16T12:42:07.847000Z,2025-07-16T12:42:07.748982Z,473.0,CHFTNE6M,3404,56,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68779c5004d3a5974541e9fa,660eab035821349c9d01e870,APPROVED,Not Applicable,2025-07-16T12:34:33.606000Z,2025-07-16T12:47:55.408000Z,2025-07-16T12:47:57.449000Z,2025-07-16T12:47:55.968468Z,802.0,CHFTNE6M,2032,59,Male,White,United States,United States,United States,English,No,Full-Time
68779c5178882a13713280cd,67aced4b25f62493088645b8,APPROVED,Not Applicable,2025-07-16T12:34:29.969000Z,2025-07-16T12:43:40.018000Z,2025-07-16T12:43:40.620000Z,2025-07-16T12:43:40.516483Z,551.0,CHFTNE6M,1266,33,Female,White,United States,United States,United States,English,No,Full-Time
68779c59a4ddbf85a45e5b05,67ace31300abf1fb686b8ce1,APPROVED,Not Applicable,2025-07-16T12:34:53.541000Z,2025-07-16T12:49:11.879000Z,2025-07-16T12:49:17.442000Z,2025-07-16T12:49:12.297572Z,859.0,CHFTNE6M,1402,24,Female,White,United States,United States,United States,English,No,Full-Time
68779c5c1617d2521c500e9e,66df03e3e582134b3e095588,APPROVED,Not Applicable,2025-07-16T12:34:41.913000Z,2025-07-16T12:42:37.343000Z,2025-07-16T12:42:39.798000Z,2025-07-16T12:42:37.829616Z,476.0,CHFTNE6M,1770,72,Female,White,United States,United States,United States,English,No,Full-Time
68779c94d321630b95c8fab8,67efb40e109c97ac3a0505b2,APPROVED,Not Applicable,2025-07-16T12:39:58.663000Z,2025-07-16T12:49:50.286000Z,2025-07-16T12:49:51.365000Z,2025-07-16T12:49:50.759534Z,592.0,CHFTNE6M,1327,55,Female,White,United States,United States,United States,English,Yes,Full-Time
68779cad500c128d1d9c2476,66af8b16d5325f5b5d87c6bc,APPROVED,Not Applicable,2025-07-16T12:36:24.689000Z,2025-07-16T12:46:08.955000Z,2025-07-16T12:46:11.678000Z,2025-07-16T12:46:09.411366Z,585.0,CHFTNE6M,1561,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68779cb483b2486a8cd5aa51,63d3fa6be5b801f923a3819f,APPROVED,Not Applicable,2025-07-16T12:42:15.130000Z,2025-07-16T12:49:15.311000Z,2025-07-16T12:49:16.774000Z,2025-07-16T12:49:15.759647Z,421.0,CHFTNE6M,2196,29,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
68779cdd003d8a25dc6a8e5f,5de5538f8fde1c4dbc951498,APPROVED,Not Applicable,2025-07-16T12:36:49.697000Z,2025-07-16T12:42:59.023000Z,2025-07-16T12:43:01.218000Z,2025-07-16T12:42:59.431453Z,370.0,CHFTNE6M,8990,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
68779ce2f45412d78eb0fa94,55aeaeb3fdf99b5c769f1f7c,APPROVED,Not Applicable,2025-07-16T12:40:23.755000Z,2025-07-16T12:48:12.563000Z,2025-07-16T12:48:15.328000Z,2025-07-16T12:48:12.969832Z,469.0,CHFTNE6M,9177,62,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68779ce42f9e728dda6e66f9,641370f5a8d3826956778170,APPROVED,Not Applicable,2025-07-16T12:36:55.473000Z,2025-07-16T12:43:56.059000Z,2025-07-16T12:43:57.564000Z,2025-07-16T12:43:56.580750Z,421.0,CHFTNE6M,3656,35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
