Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,Group
heroin,heroin,inanimate-negative,inanimate-negative,SelfPair,A
swastika,swastika,inanimate-negative,inanimate-negative,SelfPair,B
wiretap,wiretap,inanimate-negative,inanimate-negative,SelfPair,C
cocaine,cocaine,inanimate-negative,inanimate-negative,SelfPair,D
excrement,excrement,inanimate-negative,inanimate-negative,SelfPair,E
poison,poison,inanimate-negative,inanimate-negative,SelfPair,F
gunshot,gunshot,inanimate-negative,inanimate-negative,SelfPair,G
flood,flood,inanimate-negative,inanimate-negative,SelfPair,H
smallpox,smallpox,inanimate-negative,inanimate-negative,SelfPair,I
corpse,corpse,inanimate-negative,inanimate-negative,SelfPair,J
prize,prize,inanimate-positive,inanimate-positive,SelfPair,AA
sunshine,sunshine,inanimate-positive,inanimate-positive,SelfPair,BB
award,award,inanimate-positive,inanimate-positive,SelfPair,CC
pizza,pizza,inanimate-positive,inanimate-positive,SelfPair,DD
laughter,laughter,inanimate-positive,inanimate-positive,SelfPair,EE
feast,feast,inanimate-positive,inanimate-positive,SelfPair,FF
doughnut,doughnut,inanimate-positive,inanimate-positive,SelfPair,GG
dollar,dollar,inanimate-positive,inanimate-positive,SelfPair,HH
sandwich,sandwich,inanimate-positive,inanimate-positive,SelfPair,II
meadow,meadow,inanimate-positive,inanimate-positive,SelfPair,JJ
slave,slave,animate-negative,animate-negative,SelfPair,AAA
asshole,asshole,animate-negative,animate-negative,SelfPair,BBB
maggot,maggot,animate-negative,animate-negative,SelfPair,CCC
widow,widow,animate-negative,animate-negative,SelfPair,DDD
inmate,inmate,animate-negative,animate-negative,SelfPair,EEE
dictator,dictator,animate-negative,animate-negative,SelfPair,FFF
leech,leech,animate-negative,animate-negative,SelfPair,GGG
tapeworm,tapeworm,animate-negative,animate-negative,SelfPair,HHH
intruder,intruder,animate-negative,animate-negative,SelfPair,III
mugger,mugger,animate-negative,animate-negative,SelfPair,JJJ
comedian,comedian,animate-positive,animate-positive,SelfPair,AAAA
puppy,puppy,animate-positive,animate-positive,SelfPair,BBBB
sibling,sibling,animate-positive,animate-positive,SelfPair,CCCC
duckling,duckling,animate-positive,animate-positive,SelfPair,DDDD
kitten,kitten,animate-positive,animate-positive,SelfPair,EEEE
bunny,bunny,animate-positive,animate-positive,SelfPair,FFFF
child,child,animate-positive,animate-positive,SelfPair,GGGG
princess,princess,animate-positive,animate-positive,SelfPair,HHHH
chipmunk,chipmunk,animate-positive,animate-positive,SelfPair,IIII
husband,husband,animate-positive,animate-positive,SelfPair,JJJJ
