Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6877a700f8798bc3f7466910,5eb29a3db97d6b0008d24a1a,APPROVED,Not Applicable,2025-07-16T13:20:03.119000Z,2025-07-16T13:26:55.288000Z,2025-07-16T13:26:56.120000Z,2025-07-16T13:26:56.010955Z,413.0,CHFTNE6M,9169,48,Male,White,United States,United States,United States,English,No,Full-Time
6877a7354db49cf55111a549,675a2ef45fbe0cc52b8403ae,APPROVED,Not Applicable,2025-07-16T13:22:34.658000Z,2025-07-16T13:30:30.436000Z,2025-07-16T13:30:33.274000Z,2025-07-16T13:30:30.844664Z,476.0,CHFTNE6M,1735,49,Female,Mixed,United States,United States,United States,English,No,Part-Time
6877a752af26c6518c9b6ab1,616d94407f0e63a61e856056,APPROVED,Not Applicable,2025-07-16T13:21:25.516000Z,2025-07-16T13:26:11.979000Z,2025-07-16T13:51:58.503000Z,2025-07-16T13:26:12.387641Z,287.0,CHFTNE6M,1771,67,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6877a75e3991db509d64e234,6640be7edc706d4622dbab1c,APPROVED,Not Applicable,2025-07-16T13:22:53.144000Z,2025-07-16T13:28:15.834000Z,2025-07-16T13:28:16.359000Z,2025-07-16T13:28:16.259434Z,323.0,CHFTNE6M,3776,24,Female,Mixed,United States,United States,United States,English,No,Full-Time
6877a764c334db1c2b8908dd,6734ab83047e85e2f8795acb,APPROVED,Not Applicable,2025-07-16T13:21:47.850000Z,2025-07-16T13:27:10.883000Z,2025-07-16T13:27:12.853000Z,2025-07-16T13:27:11.282683Z,324.0,CHFTNE6M,1702,31,Male,White,United States,United States,United States,English,No,Full-Time
6877a7a396ca5d6103008860,65da5ea53cf757c346ee5b18,APPROVED,Not Applicable,2025-07-16T13:22:46.591000Z,2025-07-16T13:27:34.199000Z,2025-07-16T13:51:58.948000Z,2025-07-16T13:27:34.732577Z,288.0,CHFTNE6M,3647,28,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6877a7aa1d13caeb69c533ca,67d095bc257ecc840642912e,APPROVED,Not Applicable,2025-07-16T13:22:56.706000Z,2025-07-16T13:30:26.419000Z,2025-07-16T13:30:27.082000Z,2025-07-16T13:30:26.903388Z,450.0,CHFTNE6M,1746,27,Male,White,United States,United States,United States,English,No,Full-Time
6877a7ae91f70039c8196daa,67d0c73d781bc022a088d11f,APPROVED,Not Applicable,2025-07-16T13:23:04.228000Z,2025-07-16T13:30:17.981000Z,2025-07-16T13:30:21.615000Z,2025-07-16T13:30:18.657434Z,434.0,CHFTNE6M,1362,45,Female,Black,United States,United States,United States,English,No,Full-Time
6877a7c7772641923cb2011a,66a3c213c250e498a5cbfdd4,APPROVED,Not Applicable,2025-07-16T13:23:25.725000Z,2025-07-16T13:40:18.457000Z,2025-07-16T13:40:21.245000Z,2025-07-16T13:40:18.875035Z,1013.0,CHFTNE6M,1290,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6877a7c95b0ace139e9e9deb,645906dc264ac9eb66b7f3ec,APPROVED,Not Applicable,2025-07-16T13:23:25.657000Z,2025-07-16T13:31:10.446000Z,2025-07-16T13:31:11.906000Z,2025-07-16T13:31:10.902830Z,465.0,CHFTNE6M,6226,50,Female,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
