"","Experiment","MeanPropSimilar","CILow","CIHigh","YMin","YMax"
"1","Ex1a: Conc-Abs (Verbs)",34.0846153846154,1.2626923076923,1.31829230769231,32.8219230769231,35.4029076923077
"2","Ex1b: Conc-Abs (Nouns)",36.6692307692308,1.29710000000001,1.33841538461538,35.3721307692308,38.0076461538462
"3","Ex1c: Conc-Abs (Adjs)",32.4573964497041,1.3467825443787,1.25968195266272,31.1106139053254,33.7170784023669
"4","Ex2a: Phys-Psyc (Verbs)",40.2326153846154,1.29086923076923,1.46981538461539,38.9417461538462,41.7024307692308
"5","Ex2b: Phys-Soc (Adjs)",34.2123076923077,1.26185384615384,1.26239230769231,32.9504538461538,35.4747
"6","Ex3: Animacy (Nouns)",27.5446666666667,1.356225,1.36474166666666,26.1884416666667,28.9094083333333
"7","Ex4: Syntactic (N v. V)",36.1916923076923,1.25141538461538,1.26174615384615,34.9402769230769,37.4534384615385
