Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch
swing,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly
swing,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly
swing,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly
swing,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly
swing,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly
swing,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly
annoy,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
annoy,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
befall,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
criticize,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,believe,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,fulfill,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,esteem,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,justify,abstract-negative,abstract-positive,ConceptualMatchingOnly
exploit,respect,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,imagine,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,enlighten,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,admired,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,cherish,abstract-negative,abstract-positive,ConceptualMatchingOnly
loathe,hope,abstract-negative,abstract-positive,ConceptualMatchingOnly
