"","Experiment","MeanPropSimilar","CILow","CIHigh","YMin","YMax"
"1","Ex1a: Conc-Abs (Verbs)",33.7413237924866,1.41222719141324,1.40508050089446,32.3290966010733,35.146404293381
"2","Ex1b: Conc-Abs (Nouns)",36.2602006688963,1.31851170568563,1.3251254180602,34.9416889632107,37.5853260869565
"3","Ex1c: Conc-Abs (Adjs)",31.9398290598291,1.50018803418803,1.42313675213675,30.439641025641,33.3629658119658
"4","Ex2a: Phys-Psyc (Verbs)",39.3571428571429,1.50935897435897,1.4223717948718,37.8477838827839,40.7795146520147
"5","Ex2b: Phys-Soc (Adjs)",33.920979020979,1.30246503496503,1.39988636363636,32.618513986014,35.3208653846154
"6","Ex3: Animacy (Nouns)",26.8598484848485,1.46466856060606,1.43010416666667,25.3951799242424,28.2899526515152
"7","Ex4: Syntactic (N v. V)",34.9986013986014,1.40638111888112,1.45465034965034,33.5922202797203,36.4532517482517
