Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
cuddle,cuddle,physical-positive,physical-positive,SelfPair,pp-pp
cuddle,build,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,repair,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,caress,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,hug,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,produce,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,sculpt,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,twinkle,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,decorate,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,clean,physical-positive,physical-positive,MaxMatch,pp-pp
cuddle,content,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,impress,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,like,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,respect,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,admire,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,adore,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
cuddle,rust,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,slash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,crash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,tear,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,burn,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,hit,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,stain,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,delete,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
cuddle,offend,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,despair,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,irritate,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,displease,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,dishonor,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,embarrass,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,discourage,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,dismay,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,criticize,physical-positive,psychological-negative,MaxMismatch,pp-pn
cuddle,dread,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,cuddle,physical-positive,physical-positive,MaxMatch,pp-pp
build,build,physical-positive,physical-positive,SelfPair,pp-pp
build,repair,physical-positive,physical-positive,MaxMatch,pp-pp
build,caress,physical-positive,physical-positive,MaxMatch,pp-pp
build,hug,physical-positive,physical-positive,MaxMatch,pp-pp
build,produce,physical-positive,physical-positive,MaxMatch,pp-pp
build,sculpt,physical-positive,physical-positive,MaxMatch,pp-pp
build,twinkle,physical-positive,physical-positive,MaxMatch,pp-pp
build,decorate,physical-positive,physical-positive,MaxMatch,pp-pp
build,clean,physical-positive,physical-positive,MaxMatch,pp-pp
build,content,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,impress,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,like,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,respect,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,admire,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,adore,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
build,rust,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,slash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,crash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,tear,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,burn,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,hit,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,stain,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,delete,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
build,offend,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,despair,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,irritate,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,displease,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,dishonor,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,embarrass,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,discourage,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,dismay,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,criticize,physical-positive,psychological-negative,MaxMismatch,pp-pn
build,dread,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,cuddle,physical-positive,physical-positive,MaxMatch,pp-pp
repair,build,physical-positive,physical-positive,MaxMatch,pp-pp
repair,repair,physical-positive,physical-positive,SelfPair,pp-pp
repair,caress,physical-positive,physical-positive,MaxMatch,pp-pp
repair,hug,physical-positive,physical-positive,MaxMatch,pp-pp
repair,produce,physical-positive,physical-positive,MaxMatch,pp-pp
repair,sculpt,physical-positive,physical-positive,MaxMatch,pp-pp
repair,twinkle,physical-positive,physical-positive,MaxMatch,pp-pp
repair,decorate,physical-positive,physical-positive,MaxMatch,pp-pp
repair,clean,physical-positive,physical-positive,MaxMatch,pp-pp
repair,content,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,impress,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,like,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,respect,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,admire,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,adore,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
repair,rust,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,slaughter,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,slash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,crash,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,tear,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,burn,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,hit,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,stain,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,delete,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,corrode,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
repair,offend,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,despair,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,irritate,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,displease,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,dishonor,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,embarrass,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,discourage,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,dismay,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,criticize,physical-positive,psychological-negative,MaxMismatch,pp-pn
repair,dread,physical-positive,psychological-negative,MaxMismatch,pp-pn
caress,cuddle,physical-positive,physical-positive,MaxMatch,pp-pp
caress,build,physical-positive,physical-positive,MaxMatch,pp-pp
caress,repair,physical-positive,physical-positive,MaxMatch,pp-pp
caress,caress,physical-positive,physical-positive,SelfPair,pp-pp
caress,hug,physical-positive,physical-positive,MaxMatch,pp-pp
caress,produce,physical-positive,physical-positive,MaxMatch,pp-pp
caress,sculpt,physical-positive,physical-positive,MaxMatch,pp-pp
caress,twinkle,physical-positive,physical-positive,MaxMatch,pp-pp
caress,decorate,physical-positive,physical-positive,MaxMatch,pp-pp
caress,clean,physical-positive,physical-positive,MaxMatch,pp-pp
caress,content,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,encourage,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,appreciate,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,impress,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,like,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,reassure,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,respect,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,admire,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,adore,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,cherish,physical-positive,psychological-positive,ValenceMatchingOnly,pp-pp
caress,rust,physical-positive,physical-negative,ConceptualMatchingOnly,pp-pn
