Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
heroin,heroin,inanimate-negative,inanimate-negative,SelfPair,in-in
heroin,swastika,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,wiretap,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,cocaine,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,excrement,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,poison,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,gunshot,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,flood,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,smallpox,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,corpse,inanimate-negative,inanimate-negative,MaxMatch,in-in
heroin,prize,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,sunshine,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,award,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,pizza,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,laughter,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,feast,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,doughnut,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,dollar,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,sandwich,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,meadow,inanimate-negative,inanimate-positive,ConceptualMatchingOnly,in-ip
heroin,slave,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,asshole,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,maggot,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,widow,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,inmate,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,dictator,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,leech,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,tapeworm,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,intruder,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,mugger,inanimate-negative,animate-negative,ValenceMatchingOnly,in-an
heroin,comedian,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,puppy,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,sibling,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,duckling,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,kitten,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,bunny,inanimate-negative,animate-positive,MaxMismatch,in-ap
heroin,child,inanimate-negative,animate-positive,MaxMismatch,in-ap
