Word1,Word2,FeatureCombo1,FeatureCombo2,FeatureMatch,FeatureMatchSpecific
cuddle,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
cuddle,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
cuddle,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
cuddle,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
cuddle,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,esteem,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,justify,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
cuddle,respect,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,build,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,cook,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,cuddle,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,eat,concrete-positive,concrete-positive,SelfPair,cp-cp
eat,hug,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,kiss,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,running,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,sail,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,smile,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,swing,concrete-positive,concrete-positive,MaxMatch,cp-cp
eat,bleed,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,kill,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,murder,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,puke,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,scratch,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,slap,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,smack,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,spit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,stab,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,vomit,concrete-positive,concrete-negative,ConceptualMatchingOnly,cp-cn
eat,annoy,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,befall,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,criticize,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,exploit,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,loathe,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,obsess,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,resent,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,scorn,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,violate,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,worry,concrete-positive,abstract-negative,MaxMismatch,cp-an
eat,imagine,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,enlighten,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,admired,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,cherish,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,hope,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,believe,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
eat,fulfill,concrete-positive,abstract-positive,ValenceMatchingOnly,cp-ap
